Haga SA Industria e Comercio Pref,30.540.991/0001-66,Encontrado
Companhia Habitasul de Participacoes,,Não Encontrado
Hercules SA Fabrica De Talheres,,Não Encontrado
Hoteis Othon SA,33.200.049/0018-95,Encontrado
Banco Indusval SA,,Não Encontrado
Industrias JB Duarte SA,60.637.238/0001-54,Encontrado
Industrias JB Duarte SA Pref,60.637.238/0001-54,Encontrado
Josapar Joaquim Oliveira SA Participacoes,87.456.562/0001-22,Encontrado
Josapar Joaquim Oliveira SA Participacoes Pref,87.456.562/0001-22,Encontrado
Klabin SA,,Não Encontrado
Mendes Junior Engenharia SA,,Não Encontrado
Mundial SA Produtos de Consumo,88.610.191/0018-00,Encontrado
Minupar Participacoes SA,90.076.886/0001-40,Encontrado
METISA Metalurgica Timboense SA Pref,,Não Encontrado
Wetzel SA Pref,,Não Encontrado
Ogx Petroleo e Gas SA em Recuperacao Judicial,07.957.093/0001-96,Encontrado
Companhia de Participacoes Alianca da Bahia,,Não Encontrado
Dimed SA Distribuidora De Medicamentos,92.665.611/0345-86,Encontrado
Dimed SA Distribuidora De Medicamentos Pref,92.665.611/0345-86,Encontrado
Celulose Irani SA,92.791.243/0001-03,Encontrado
Celulose Irani SA Pref,92.791.243/0001-03,Encontrado
Recrusul SA,,Não Encontrado
Recrusul SA Pref,,Não Encontrado
Rede Energia SA,61.584.140/0002-20,Encontrado
Alfa Holdings SA Pref A,,Não Encontrado
Alfa Holdings SA Pref B,,Não Encontrado
Ser Educacional SA,04.986.320/0061-54,Encontrado
WLM Industria e Comercio SA,33.228.024/0001-51,Encontrado
WLM Industria e Comercio SA,33.228.024/0001-51,Encontrado
Saraiva SA Livreiros Editores,,Não Encontrado
Smiles Fidelidade SA,05.730.375/0001-20,Encontrado
Sondotecnica Engenharia de Solos SA Pref A,,Não Encontrado
Sondotecnica Engenharia de Solos SA Pref B,,Não Encontrado
Springer SA,92.929.520/0007-97,Encontrado
Tecnosolo Engenharia SA,,Não Encontrado
Telecomunicacoes Brasileiras SA Telebras,00.336.701/0001-04,Encontrado
Tec Toy SA Pref,22.770.366/0025-50,Encontrado
CTEEP Companhia de Transmissao de Energia Eletrica Paulista,02.998.611/0001-04,Encontrado
Unipar Carbocloro SA Pref,33.958.695/0003-30,Encontrado
Usinas Siderurgicas de Minas Gerais SA Usiminas Pref,,Não Encontrado
Vulcabras Azaleia SA,,Não Encontrado
Via Varejo SA,33.041.260/0001-64,Encontrado
Whirlpool SA Pref,,Não Encontrado
Fundo de Investimento Imobiliario FII Torre Almirante,07.122.725/0001-00,Encontrado
Fundo De Investimento Imobiliario Ancar IC,07.789.135/0001-27,Encontrado
Fundo de Investimento Imobiliario Cshg Atrium Shopping Santo Andre,12.809.972/0001-00,Encontrado
BB Fundo de Investimento Imobiliario Progressivo,59.281.253/0001-23,Encontrado
BB Renda Corporativa Fundo de Investimento Imobiliario FII,12.681.340/0001-04,Encontrado
Fundo de Investimento Imobiliario BM Brascan Lajes Corporativas FII,14.376.247/0001-11,Encontrado
